0,room_type,neighborhood,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
poco visitado,Entire home/apt,Eixample,4.5,9,4.0,343.0,41.396973,2.1855990000000003
poco visitado,Entire home/apt,Eixample,5.0,4,2.0,361.0,41.386093,2.166087
poco visitado,Entire home/apt,Eixample,5.0,8,4.0,420.0,41.387279,2.151528
poco visitado,Entire home/apt,Ciutat Vella,5.0,12,5.0,433.0,41.384561,2.164917
poco visitado,Entire home/apt,Eixample,4.5,11,5.0,337.0,41.385229,2.160013
poco visitado,Entire home/apt,Eixample,4.5,7,4.0,403.0,41.392482,2.157973
poco visitado,Entire home/apt,Eixample,5.0,9,3.0,499.0,41.38917,2.16872
poco visitado,Entire home/apt,Eixample,4.5,8,4.0,373.0,41.3979,2.171795
poco visitado,Entire home/apt,Eixample,4.5,10,5.0,420.0,41.387181,2.170998
moderado,Entire home/apt,Eixample,5.0,8,3.0,359.0,41.391621,2.160746
moderado,Entire home/apt,Eixample,4.5,13,6.0,337.0,41.393286,2.165694
poco visitado,Entire home/apt,Eixample,4.5,4,2.0,331.0,41.386484,2.166347
poco visitado,Entire home/apt,Eixample,5.0,4,2.0,361.0,41.39095,2.172622
poco visitado,Entire home/apt,Eixample,4.5,8,3.0,384.0,41.386604,2.153071
poco visitado,Entire home/apt,Eixample,4.5,10,3.0,312.0,41.38581,2.168097
poco visitado,Entire home/apt,Eixample,4.5,6,3.0,348.0,41.393066,2.165708
poco visitado,Entire home/apt,Eixample,4.5,8,4.0,420.0,41.38964,2.170187
muy visitado,Entire home/apt,Eixample,5.0,16,9.0,337.0,41.39161,2.168918
poco visitado,Entire home/apt,Eixample,5.0,6,2.0,367.0,41.388231,2.167761
poco visitado,Entire home/apt,Eixample,4.5,10,4.0,310.0,41.394803,2.178743
poco visitado,Entire home/apt,Eixample,5.0,2,1.0,331.0,41.392639,2.162754
poco visitado,Entire home/apt,Eixample,4.5,8,3.0,311.0,41.396843,2.168194
poco visitado,Entire home/apt,Eixample,4.5,16,6.0,337.0,41.397268,2.177412
poco visitado,Entire home/apt,Eixample,4.5,13,4.0,420.0,41.38594000000001,2.167325
moderado,Entire home/apt,Eixample,5.0,6,3.0,316.0,41.391938,2.170264
poco visitado,Entire home/apt,Eixample,5.0,10,3.0,432.0,41.375538,2.16684
poco visitado,Entire home/apt,Eixample,5.0,6,3.0,457.0,41.38952000000001,2.164745
poco visitado,Entire home/apt,Eixample,4.5,10,4.0,384.0,41.387052,2.165782
poco visitado,Entire home/apt,Eixample,4.5,8,3.0,384.0,41.389548,2.175145
poco visitado,Entire home/apt,Eixample,4.5,10,5.0,499.0,41.387229,2.169878
poco visitado,Entire home/apt,Ciutat Vella,5.0,6,3.0,447.0,41.383954,2.177649
poco visitado,Entire home/apt,Ciutat Vella,4.5,7,3.0,337.0,41.379306,2.169434
poco visitado,Entire home/apt,Ciutat Vella,4.5,16,6.0,361.0,41.388563,2.176739
poco visitado,Entire home/apt,Ciutat Vella,4.5,6,2.0,481.0,41.381943,2.172684
poco visitado,Entire home/apt,Eixample,5.0,4,2.0,348.0,41.390734,2.172196
poco visitado,Entire home/apt,Eixample,4.5,8,5.0,334.0,41.400148,2.169225
muy visitado,Entire home/apt,Eixample,5.0,6,3.0,361.0,41.406223,2.173289
poco visitado,Entire home/apt,Eixample,2.5,16,7.0,481.0,41.389279,2.166494
poco visitado,Entire home/apt,Eixample,4.5,12,4.0,361.0,41.386839,2.167171
poco visitado,Entire home/apt,Eixample,4.5,8,3.0,337.0,41.386948,2.1669240000000003
poco visitado,Entire home/apt,Eixample,5.0,6,3.0,505.0,41.39225,2.169753
poco visitado,Entire home/apt,Ciutat Vella,4.0,8,3.0,384.0,41.37713,2.167127
poco visitado,Entire home/apt,Gràcia,4.5,10,4.0,139.0,41.408436,2.147809
poco visitado,Entire home/apt,Les Corts,4.0,6,2.0,108.0,41.377387,2.116661
moderado,Entire home/apt,Les Corts,4.5,8,4.0,121.0,41.384162,2.136355
muy visitado,Entire home/apt,Sants-Montjuïc,4.5,4,1.0,117.0,41.374454,2.161649
poco visitado,Entire home/apt,Eixample,4.0,3,2.0,106.0,41.39647100000001,2.163133
poco visitado,Entire home/apt,Eixample,4.0,4,2.0,84.0,41.407259,2.173998
poco visitado,Entire home/apt,Sants-Montjuïc,4.0,3,1.0,103.0,41.373466,2.132091
poco visitado,Entire home/apt,Ciutat Vella,4.0,6,2.0,95.0,41.388722,2.17984
moderado,Entire home/apt,Sant Andreu,4.5,4,2.0,84.0,41.426074,2.17899
poco visitado,Entire home/apt,Eixample,4.0,4,2.0,84.0,41.407162,2.171253
muy visitado,Entire home/apt,Sarrià-Sant Gervasi,4.0,12,3.0,91.0,41.404061,2.1436330000000003
poco visitado,Entire home/apt,Gràcia,5.0,3,1.0,91.0,41.400802,2.16088
poco visitado,Entire home/apt,Sarrià-Sant Gervasi,5.0,4,1.0,95.0,41.39473,2.149184
poco visitado,Entire home/apt,Eixample,4.0,4,2.0,84.0,41.405889,2.173986
muy visitado,Entire home/apt,Sant Martí,3.5,3,0.0,96.0,41.389264,2.194763
moderado,Entire home/apt,Sant Martí,3.5,3,1.0,96.0,41.397651,2.190669
poco visitado,Entire home/apt,Ciutat Vella,4.0,3,1.0,102.0,41.381676,2.175941
poco visitado,Entire home/apt,Sant Martí,4.0,4,2.0,84.0,41.395698,2.19191
poco visitado,Entire home/apt,Eixample,4.0,4,2.0,97.0,41.40618900000001,2.174555
poco visitado,Entire home/apt,Sants-Montjuïc,4.0,4,2.0,95.0,41.37422700000001,2.156278
poco visitado,Entire home/apt,Ciutat Vella,3.5,10,3.0,95.0,41.378961,2.165841
poco visitado,Entire home/apt,Eixample,4.5,6,2.0,88.0,41.377796,2.159204
muy visitado,Entire home/apt,Sarrià-Sant Gervasi,4.0,10,3.0,98.0,41.404834,2.14265
poco visitado,Entire home/apt,Eixample,4.0,4,2.0,73.0,41.407122,2.172556
moderado,Entire home/apt,Eixample,5.0,3,2.0,72.0,41.37768300000001,2.154875
poco visitado,Entire home/apt,Ciutat Vella,3.5,6,1.0,80.0,41.378141,2.167847
muy visitado,Entire home/apt,Ciutat Vella,4.0,3,1.0,55.0,41.381679,2.169493
muy visitado,Entire home/apt,Ciutat Vella,4.0,4,1.0,25.0,41.379513,2.175886
poco visitado,Entire home/apt,Sant Martí,4.0,10,4.0,726.0,41.406385,2.213067
poco visitado,Entire home/apt,Eixample,5.0,11,5.0,1025.0,41.393034,2.166868
poco visitado,Entire home/apt,Sant Martí,3.0,16,6.0,1025.0,41.400678000000006,2.208334
poco visitado,Entire home/apt,Eixample,5.0,8,4.0,904.0,41.392997,2.165449
poco visitado,Entire home/apt,Eixample,5.0,8,4.0,940.0,41.394275,2.169996
